,Winrate,Packs-PRE,Packs-TRA,Gems-PRE,Gems-TRA,Rounds-PRE,NetGemsPRE,NetGemsTRA
0,0.0,1.0,1.0,-1450.0,-1500.0,3.0,-650.0,-700.0
1,0.01,1.000604,1.001006,-1448.4115,-1499.662,3.030328,-648.2906999999999,-699.4608000000001
2,0.02,1.00247,1.00358,-1446.6185,-1498.796,3.061336,-646.1245,-698.08
3,0.03,1.005048,1.007916,-1444.6673,-1497.308,3.09278,-643.6577000000001,-695.7248
4,0.04,1.00908,1.014056,-1442.4359,-1495.248,3.124456,-640.6198999999999,-692.4368000000001
5,0.05,1.01401,1.02233,-1439.9085,-1492.37,3.15742,-637.1065,-687.9039999999999
6,0.060000000000000005,1.02025,1.031298,-1437.022,-1489.282,3.191838,-632.972,-683.0224
7,0.07,1.026908,1.0427,-1433.7819,-1485.316,3.225226,-628.4003,-676.7760000000001
8,0.08,1.034504,1.055654,-1430.3011,-1480.702,3.259842,-623.4002999999999,-669.5712
9,0.09,1.0434,1.071624,-1426.2401,-1475.128,3.295452,-617.5600999999999,-660.8032
10,0.09999999999999999,1.05411,1.086046,-1421.3053,-1470.03,3.335112,-610.4833,-652.8208
11,0.10999999999999999,1.064406,1.103312,-1416.6361,-1463.784,3.370756,-603.7548999999999,-643.1216000000001
12,0.11999999999999998,1.075912,1.123054,-1411.4217,-1456.63,3.40709,-596.2393000000001,-632.0192000000001
13,0.12999999999999998,1.088782,1.143916,-1405.2198,-1448.98,3.448296,-587.4634000000001,-620.1968
14,0.13999999999999999,1.101592,1.165352,-1399.1703,-1441.136,3.486704,-578.8519,-608.0656
15,0.15,1.116168,1.188934,-1391.703,-1432.502,3.52877,-568.4694,-594.7152
16,0.16,1.13213,1.213938,-1384.2644,-1423.202,3.570794,-557.8384,-580.4144
17,0.17,1.14728,1.240148,-1375.9382,-1413.308,3.614034,-546.4822,-565.2783999999999
18,0.18000000000000002,1.165524,1.270698,-1366.8936,-1401.978,3.658568,-533.7888,-547.8384000000001
19,0.19000000000000003,1.183178,1.295628,-1357.2481,-1392.588,3.70487,-520.6125,-533.4623999999999
20,0.20000000000000004,1.201384,1.325656,-1347.7655,-1380.896,3.747882,-507.4887,-515.7647999999999
21,0.21000000000000005,1.222618,1.36063,-1336.5115,-1367.462,3.797254,-491.9879000000001,-495.336
22,0.22000000000000006,1.243782,1.390432,-1324.6355,-1356.0,3.84596,-475.8791000000001,-477.9136000000001
23,0.23000000000000007,1.264468,1.427244,-1313.3111,-1341.3,3.892958,-460.4174999999999,-455.85119999999995
24,0.24000000000000007,1.287114,1.462646,-1300.3822,-1327.27,3.943646,-442.95939999999996,-434.74080000000004
25,0.25000000000000006,1.312064,1.499316,-1286.5634,-1312.508,3.997654,-424.15059999999994,-412.64480000000003
26,0.26000000000000006,1.337932,1.537664,-1272.4167,-1297.232,4.051906,-404.8303000000001,-389.6992
27,0.2700000000000001,1.364172,1.578936,-1256.707,-1280.992,4.107408,-383.87260000000015,-365.2048
28,0.2800000000000001,1.389768,1.618486,-1241.3917,-1264.606,4.16179,-363.43809999999985,-340.9087999999999
29,0.2900000000000001,1.419326,1.661182,-1224.5448,-1247.006,4.219792,-340.67959999999994,-314.7696000000001
30,0.3000000000000001,1.44796,1.70356,-1207.6142,-1228.864,4.277816,-318.0222,-288.15200000000004
31,0.3100000000000001,1.478146,1.74735,-1189.7396,-1210.686,4.337956,-294.11040000000014,-261.2159999999999
32,0.3200000000000001,1.508628,1.792154,-1171.9296,-1191.722,4.397404,-270.20399999999995,-233.2912
33,0.3300000000000001,1.541648,1.833698,-1151.4402,-1174.522,4.462366,-243.11059999999998,-207.78239999999994
34,0.34000000000000014,1.576276,1.880312,-1131.5524,-1153.912,4.527578,-216.29719999999998,-177.8496
35,0.35000000000000014,1.611118,1.932312,-1110.654,-1131.584,4.593408,-188.43039999999996,-145.12160000000006
36,0.36000000000000015,1.645162,1.97716,-1090.656,-1112.0,4.65839,-161.6235999999999,-116.56799999999998
37,0.37000000000000016,1.681272,2.028208,-1068.9891,-1090.112,4.725712,-132.73469999999998,-84.47040000000015
38,0.38000000000000017,1.722538,2.079524,-1044.6029,-1067.132,4.799562,-100.09530000000018,-51.22720000000004
39,0.3900000000000002,1.761546,2.134526,-1021.0587,-1042.614,4.87142,-68.74950000000001,-15.708799999999883
40,0.4000000000000002,1.80078,2.186052,-997.6747,-1018.748,4.94166,-37.51870000000008,18.46239999999989
41,0.4100000000000002,1.840624,2.239574,-974.4679,-995.062,5.012972,-6.343099999999936,52.8528
42,0.4200000000000002,1.884978,2.284272,-948.332,-974.144,5.091858,28.663599999999974,82.71039999999994
43,0.4300000000000002,1.929128,2.348862,-921.2836,-943.55,5.170196,64.54200000000003,126.2224000000001
44,0.4400000000000002,1.970676,2.403572,-896.7312,-917.596,5.244666,97.404,163.11840000000007
45,0.45000000000000023,2.017686,2.457134,-869.1445,-892.878,5.324472,134.3927,198.54879999999991
46,0.46000000000000024,2.064918,2.515634,-841.3789,-865.074,5.405894,171.60469999999998,238.05280000000005
47,0.47000000000000025,2.112018,2.572964,-812.9099,-836.988,5.4864,209.4937,277.60479999999984
48,0.48000000000000026,2.163166,2.635114,-783.4645,-806.898,5.573948,249.16869999999994,320.12480000000016
49,0.49000000000000027,2.209062,2.689598,-756.4545,-779.982,5.65208,285.3579,357.9376000000002
50,0.5000000000000002,2.258014,2.750882,-726.6435,-749.25,5.735748,324.9593000000001,400.92639999999983
51,0.5100000000000002,2.307786,2.807062,-698.0141,-720.742,5.818472,363.5431,440.6704000000002
52,0.5200000000000002,2.359372,2.873936,-667.9924,-686.688,5.903642,403.88199999999995,488.0992
53,0.5300000000000002,2.413244,2.93193,-636.7231,-658.29,5.991654,445.9256999999999,528.096
54,0.5400000000000003,2.465222,2.9946,-605.8014,-625.08,6.077518,487.24300000000005,573.84
55,0.5500000000000003,2.515844,3.057672,-576.2765,-591.712,6.158916,526.8922999999999,619.8224
56,0.5600000000000003,2.565646,3.12243,-547.993,-558.638,6.238964,565.1361999999998,665.8479999999998
57,0.5700000000000003,2.62387,3.183396,-513.4523,-525.116,6.333116,611.3216999999999,711.5632
58,0.5800000000000003,2.67907,3.246176,-481.6642,-490.848,6.419646,654.1497999999999,758.3872000000001
59,0.5900000000000003,2.728592,3.312966,-452.6885,-454.782,6.496842,693.0299,807.8112000000001
60,0.6000000000000003,2.787094,3.372916,-419.0691,-422.116,6.587694,738.3497,852.4672
61,0.6100000000000003,2.836036,3.446312,-390.2666,-381.232,6.662782,776.9406000000001,908.0304000000001
62,0.6200000000000003,2.892262,3.502436,-358.1861,-350.324,6.747942,820.2663000000001,950.1632
63,0.6300000000000003,2.946322,3.5729,-326.517,-308.516,6.827618,862.7474,1006.0639999999999
64,0.6400000000000003,2.998714,3.640182,-295.8509,-269.118,6.905276,903.8919,1058.9184
65,0.6500000000000004,3.051816,3.706772,-265.2317,-231.42,6.983546,945.1315,1109.9343999999999
66,0.6600000000000004,3.102286,3.768962,-235.9638,-193.21,7.055352,984.4933999999998,1160.5824
67,0.6700000000000004,3.155968,3.834016,-204.7809,-154.504,7.13005,1026.4127,1212.2992000000002
68,0.6800000000000004,3.208958,3.902184,-173.899,-114.384,7.201482,1067.8926000000001,1266.0528
69,0.6900000000000004,3.257302,3.969132,-145.8099,-72.044,7.267146,1105.6505,1321.7823999999998
70,0.7000000000000004,3.306472,4.037532,-116.754,-30.844,7.330194,1144.5404,1376.6624
71,0.7100000000000004,3.355168,4.104268,-88.4828,11.484,7.391958,1182.5508,1432.3375999999998
72,0.7200000000000004,3.404602,4.169788,-59.9236,54.02,7.452008,1220.9968,1487.9776
73,0.7300000000000004,3.448322,4.236298,-34.1657,96.318,7.501556,1255.4987,1543.5775999999998
74,0.7400000000000004,3.493376,4.308132,-7.6326,143.084,7.552462,1291.0426000000002,1604.7104
75,0.7500000000000004,3.535352,4.373644,17.1988,186.644,7.594352,1324.2692,1661.3727999999999
76,0.7600000000000005,3.57463,4.442994,40.3903,233.95,7.631548,1355.3163,1722.5488
77,0.7700000000000005,3.615926,4.511964,65.0134,279.908,7.669826,1388.1986,1782.3008
78,0.7800000000000005,3.65452,4.578524,87.6958,325.596,7.698346,1418.5998,1841.3008
79,0.7900000000000005,3.692038,4.646424,110.1557,373.728,7.724792,1448.5633,1903.0128
80,0.8000000000000005,3.72488,4.711084,130.4152,419.716,7.743642,1475.3912,1961.9328
81,0.8100000000000005,3.757486,4.780222,149.7922,469.17,7.756864,1501.2894000000001,2025.2144
82,0.8200000000000005,3.790156,4.846338,169.123,517.286,7.767128,1527.1542,2086.5536
83,0.8300000000000005,3.816488,4.913792,185.3856,567.272,7.767048,1548.6832,2150.0304
84,0.8400000000000005,3.843482,4.98114,201.7879,617.46,7.764796,1570.4842999999998,2213.688
85,0.8500000000000005,3.86734,5.046184,216.3844,667.824,7.754782,1589.8523999999998,2277.0608
86,0.8600000000000005,3.889922,5.112458,230.3487,718.99,7.739026,1608.3330999999998,2341.4816
87,0.8700000000000006,3.908154,5.17709,241.6871,769.926,7.715398,1623.3179,2405.344
88,0.8800000000000006,3.926298,5.244858,252.9773,824.222,7.690416,1638.2368999999999,2473.1935999999996
89,0.8900000000000006,3.940972,5.311044,262.206,877.844,7.653914,1650.4004,2540.0528
90,0.9000000000000006,3.954966,5.376074,270.9219,931.982,7.61703,1661.9151,2607.1967999999997
91,0.9100000000000006,3.966436,5.439356,278.1997,985.092,7.571546,1671.4868999999999,2672.9632
92,0.9200000000000006,3.975598,5.50316,284.1266,1039.672,7.51962,1679.2462,2740.304
93,0.9300000000000006,3.982728,5.567502,288.7433,1095.682,7.465754,1685.2889,2809.1824
94,0.9400000000000006,3.989334,5.628926,293.0175,1149.762,7.408086,1690.8843,2875.5472
95,0.9500000000000006,3.993568,5.693662,295.7947,1208.498,7.344746,1694.5083,2947.2304
96,0.9600000000000006,3.996878,5.7548,297.9126,1264.288,7.279406,1697.2882,3015.248
97,0.9700000000000006,3.998442,5.817232,298.9603,1322.568,7.211258,1698.6487,3086.0144
98,0.9800000000000006,3.999546,5.878742,299.6978,1381.082,7.141634,1699.607,3156.8304
99,0.9900000000000007,3.99995,5.93932,299.9666,1439.896,7.070136,1699.9566,3227.76
100,1.0000000000000007,4.0,6.0,300.0,1500.0,7.0,1700.0,3300.0
